number,average,variance,standarddeviation,sex,weight
1,4.9,36.9,6.1,1,65
2,2.6,10.2,3.2,1,65
3,3.4,20.1,4.5,1,65
4,4.9,90.3,9.5,1,65
5,3.6,23.6,4.9,1,65
6,3.3,29.2,5.4,1,65
7,3.9,23.9,4.9,1,65
8,2.9,22.8,4.8,1,65
9,3.7,25.3,5,1,65
10,3.4,28.9,5.4,1,65
11,1.3,2.8,1.7,2,47
12,2.3,13,3.6,2,47
13,1.2,2.8,1.7,2,47
14,0.8,2,1.4,2,47
15,0.9,2.4,1.5,2,47
16,1.6,6.9,2.6,2,47
17,1.2,2.4,1.6,2,47
18,1.7,9.4,3.1,1,62
19,2,10.7,3.3,1,62
20,3.1,28.6,5.4,1,62
21,2.6,20.3,4.5,1,62
22,4.7,52.7,7.3,1,62
23,2.8,21.3,4.6,1,63
24,2,12.4,3.5,1,63
25,4.9,63.2,8,1,63
26,2.9,22.5,4.7,1,63
27,2.7,31.6,5.6,1,63
28,2.1,13.6,3.7,1,63
29,4.9,61.8,7.9,1,63
30,2.7,19.1,4.4,1,63
31,2.1,36.8,6.1,1,63
32,3,38.3,6.2,1,63
33,0.9,2.7,1.6,2,48
34,2.8,15.8,4,2,48
35,1.6,4.5,2.1,2,48
36,1.4,4.6,2.1,2,48
37,1.9,6.5,2.6,2,48
38,1.2,3.3,1.8,2,48
39,1.5,3.7,1.9,2,48
40,2.2,11.1,3.3,2,47
41,1.3,2.6,1.6,2,47
42,6.4,102.7,10.1,1,57
43,7.6,101.9,10.1,1,57
44,7.8,104.3,10.2,1,57
45,9,139.1,11.8,1,57
46,9.7,130.1,11.4,1,57
47,9.7,103.1,10.2,1,55
48,10.6,120.8,11,1,55
49,11.7,149.4,12.2,1,55
50,11.6,132.1,11.5,1,55
51,11,145.7,12.1,1,55
52,5.4,54.2,7.4,2,50
53,2.5,8.9,3,2,50
54,2.8,9.4,3.1,2,50
55,2.9,10.5,3.2,2,50
56,2.5,8.5,2.9,2,50
57,6.1,44.2,6.6,2,48
58,3.4,12.4,3.5,2,48
59,7.6,49.4,7,2,48
60,3.1,9.9,3.1,2,48
61,5.2,35.9,6,2,48
62,4.9,38.2,6.2,2,48
63,2.4,20.1,4.5,2,48
64,4.8,73.9,8.6,2,48
65,2.6,21,4.6,2,48
66,5.8,123.2,11.1,2,48
67,10.2,332.3,18.2,2,49
68,8,104,10.2,2,49
69,12.6,302.4,17.4,2,49
70,11.8,369.3,19.2,2,49
71,8.9,137.9,11.7,2,49
72,9.4,120.7,11,2,49
73,9.4,106.2,10.3,2,49
74,3.4,53.9,7.3,1,56
75,2.8,25.2,5,1,56
76,3.8,36.6,6,1,56
77,4.2,58.1,7.6,1,56
78,2.2,15.7,4,1,56
79,2.6,10.2,3.2,1,65
80,3.4,20.1,4.5,1,65
81,4.9,90.3,9.5,1,65
82,3.6,23.6,4.9,1,65
83,3.3,29.2,5.4,1,65
84,3.9,23.9,4.9,1,65
85,2.9,22.8,4.8,1,65
86,3.7,25.3,5,1,65
87,3.4,28.9,5.4,1,65
88,1.3,2.8,1.7,2,47
89,2.3,13,3.6,2,47
90,1.2,2.8,1.7,2,47
91,0.8,2,1.4,2,47
92,0.9,2.4,1.5,2,47
93,1.6,6.9,2.6,2,47
94,1.2,2.4,1.6,2,47
95,1.7,9.4,3.1,1,62
96,2,10.7,3.3,1,62
97,3.1,28.6,5.4,1,62
98,2.6,20.3,4.5,1,62
99,4.7,52.7,7.3,1,62
100,2.8,21.3,4.6,1,63
101,2,12.4,3.5,1,63
102,4.9,63.2,8,1,63
103,2.9,22.5,4.7,1,63
104,2.7,31.6,5.6,1,63
105,2.1,13.6,3.7,1,63
106,4.9,61.8,7.9,1,63
107,2.7,19.1,4.4,1,63
108,2.1,36.8,6.1,1,63
109,3,38.3,6.2,1,63
110,0.9,2.7,1.6,2,48
111,2.8,15.8,4,2,48
112,1.6,4.5,2.1,2,48
113,1.4,4.6,2.1,2,48
114,1.9,6.5,2.6,2,48
115,1.2,3.3,1.8,2,48
116,1.5,3.7,1.9,2,48
117,2.2,11.1,3.3,2,47
118,1.3,2.6,1.6,2,47
119,6.4,102.7,10.1,1,57
120,7.6,101.9,10.1,1,57
121,7.8,104.3,10.2,1,57
122,9,139.1,11.8,1,57
123,9.7,130.1,11.4,1,57
124,9.7,103.1,10.2,1,55
125,10.6,120.8,11,1,55
126,11.7,149.4,12.2,1,55
127,11.6,132.1,11.5,1,55
128,11,145.7,12.1,1,55
129,5.4,54.2,7.4,2,50
130,2.5,8.9,3,2,50
131,2.8,9.4,3.1,2,50
132,2.9,10.5,3.2,2,50
133,2.5,8.5,2.9,2,50
134,6.1,44.2,6.6,2,48
135,3.4,12.4,3.5,2,48
136,7.6,49.4,7,2,48
137,3.1,9.9,3.1,2,48
138,5.2,35.9,6,2,48
139,4.9,38.2,6.2,2,48
140,2.4,20.1,4.5,2,48
141,4.8,73.9,8.6,2,48
142,2.6,21,4.6,2,48
143,5.8,123.2,11.1,2,48
144,10.2,332.3,18.2,2,49
145,8,104,10.2,2,49
146,12.6,302.4,17.4,2,49
147,11.8,369.3,19.2,2,49
148,8.9,137.9,11.7,2,49
149,2.8,9.4,3.1,2,50
150,2.9,10.5,3.2,2,50
