average,variance,standarddeviation,sex,weight
4.9,36.9,6.1,1,C
2.6,10.2,3.2,1,C
3.4,20.1,4.5,1,C
4.9,90.3,9.5,1,C
3.6,23.6,4.9,1,C
3.3,29.2,5.4,1,C
3.9,23.9,4.9,1,C
2.9,22.8,4.8,1,C
3.7,25.3,5,1,C
3.4,28.9,5.4,1,C
1.3,2.8,1.7,2,A
2.3,13,3.6,2,A
1.2,2.8,1.7,2,A
0.8,2,1.4,2,A
0.9,2.4,1.5,2,A
1.6,6.9,2.6,2,A
1.2,2.4,1.6,2,A
1.7,9.4,3.1,1,C
2,10.7,3.3,1,C
3.1,28.6,5.4,1,C
2.6,20.3,4.5,1,C
4.7,52.7,7.3,1,C
2.8,21.3,4.6,1,C
2,12.4,3.5,1,C
4.9,63.2,8,1,C
2.9,22.5,4.7,1,C
2.7,31.6,5.6,1,C
2.1,13.6,3.7,1,C
4.9,61.8,7.9,1,C
2.7,19.1,4.4,1,C
2.1,36.8,6.1,1,C
3,38.3,6.2,1,C
0.9,2.7,1.6,2,A
2.8,15.8,4,2,A
1.6,4.5,2.1,2,A
1.4,4.6,2.1,2,A
1.9,6.5,2.6,2,A
1.2,3.3,1.8,2,A
1.5,3.7,1.9,2,A
2.2,11.1,3.3,2,A
1.3,2.6,1.6,2,A
6.4,102.7,10.1,1,B
7.6,101.9,10.1,1,B
7.8,104.3,10.2,1,B
9,139.1,11.8,1,B
9.7,130.1,11.4,1,B
9.7,103.1,10.2,1,B
10.6,120.8,11,1,B
11.7,149.4,12.2,1,B
11.6,132.1,11.5,1,B
11,145.7,12.1,1,B
5.4,54.2,7.4,2,B
2.5,8.9,3,2,B
2.8,9.4,3.1,2,B
2.9,10.5,3.2,2,B
2.5,8.5,2.9,2,B
6.1,44.2,6.6,2,A
3.4,12.4,3.5,2,A
7.6,49.4,7,2,A
3.1,9.9,3.1,2,A
5.2,35.9,6,2,A
4.9,38.2,6.2,2,A
2.4,20.1,4.5,2,A
4.8,73.9,8.6,2,A
2.6,21,4.6,2,A
5.8,123.2,11.1,2,A
10.2,332.3,18.2,2,A
8,104,10.2,2,A
12.6,302.4,17.4,2,A
11.8,369.3,19.2,2,A
8.9,137.9,11.7,2,A
9.4,120.7,11,2,A
9.4,106.2,10.3,2,A
3.4,53.9,7.3,1,B
2.8,25.2,5,1,B
3.8,36.6,6,1,B
4.2,58.1,7.6,1,B
4.9,36.9,6.1,1,C
